Count,Date,Hour,Month,Game.Day
25,2017-12-16,17,12,0
17,2017-12-16,18,12,0
15,2017-12-16,19,12,0
16,2017-12-16,20,12,0
13,2017-12-16,21,12,0
7,2017-12-16,22,12,0
8,2017-12-16,23,12,0
15,2017-12-23,12,12,0
19,2017-12-23,13,12,0
17,2017-12-23,14,12,0
25,2017-12-23,15,12,0
23,2017-12-23,16,12,0
19,2017-12-23,17,12,0
16,2017-12-23,18,12,0
11,2017-12-23,19,12,0
18,2017-12-23,20,12,0
18,2017-12-23,21,12,0
9,2017-12-23,22,12,0
9,2017-12-23,23,12,0
11,2017-12-30,12,12,0
18,2017-12-30,13,12,0
24,2017-12-30,14,12,0
16,2017-12-30,15,12,0
12,2017-12-30,16,12,0
10,2017-12-30,17,12,0
7,2017-12-30,18,12,0
15,2017-12-30,19,12,0
11,2017-12-30,20,12,0
7,2017-12-30,21,12,0
3,2017-12-30,22,12,0
5,2017-12-30,23,12,0
13,2018-09-01,12,9,0
17,2018-09-01,13,9,0
16,2018-09-01,14,9,0
16,2018-09-01,15,9,0
23,2018-09-01,16,9,0
15,2018-09-01,17,9,0
28,2018-09-01,18,9,0
20,2018-09-01,19,9,0
20,2018-09-01,20,9,0
10,2018-09-01,21,9,0
9,2018-09-01,22,9,0
7,2018-09-01,23,9,0
18,2018-09-08,12,9,1
17,2018-09-08,13,9,1
18,2018-09-08,14,9,1
24,2018-09-08,15,9,1
19,2018-09-08,16,9,1
24,2018-09-08,17,9,1
10,2018-09-08,18,9,1
21,2018-09-08,19,9,1
15,2018-09-08,20,9,1
12,2018-09-08,21,9,1
18,2018-09-08,22,9,1
21,2018-09-08,23,9,1
21,2018-09-15,12,9,1
22,2018-09-15,13,9,1
17,2018-09-15,14,9,1
12,2018-09-15,15,9,1
19,2018-09-15,16,9,1
20,2018-09-15,17,9,1
15,2018-09-15,18,9,1
12,2018-09-15,19,9,1
20,2018-09-15,20,9,1
19,2018-09-15,21,9,1
23,2018-09-15,22,9,1
18,2018-09-15,23,9,1
15,2018-09-22,12,9,0
8,2018-09-22,13,9,0
17,2018-09-22,14,9,0
19,2018-09-22,15,9,0
21,2018-09-22,16,9,0
11,2018-09-22,17,9,0
14,2018-09-22,18,9,0
21,2018-09-22,19,9,0
15,2018-09-22,20,9,0
21,2018-09-22,21,9,0
